제품,제품특성
B002-02123-00044,무첨가:무색소 효과:충치예방 효과:잇몸질환예방 효과:구취제거 효과:프라그제거 최소연령:8세 용기형태:튜브형 향:사과향 제품형태:일반형 사용연령:8세이상 :1개 80g
B002-02123-00045,"종류:어린이칫솔 단계별:4단계 칫솔모타입:미세모 특징:항균 최소연령:8세 사용연령:8세이상 :1개, 종류:어린이칫솔 단계별:3단계 칫솔모타입:부드러운모 특징:항균 최소연령:6세 사용연령:6~9세 :1개, 종류:어린이칫솔 단계별:2단계 칫솔모타입:부드러운모 특징:항균 최소연령:36개월 사용연령:3~5세 :1개, 종류:어린이칫솔 단계별:3단계 칫솔모타입:부드러운모 특징:항균 재질:플라스틱 재질:기타 최소연령:6세 사용연령:6~9세 :1개, 종류:어린이칫솔 단계별:2단계 칫솔모타입:미세모 특징:항균 최소연령:36개월 사용연령:3~5세 :6개, 종류:어린이칫솔 칫솔모타입:미세모 특징:항균 최소연령:36개월 사용연령:3세이상 :1개, 종류:어린이칫솔 단계별:1단계 :1개, 종류:유아칫솔 단계별:1단계 칫솔모타입:부드러운모 특징:항균 최소연령:6개월 사용연령:6~36개월 :3개, 종류:어린이칫솔 단계별:3단계 칫솔모타입:미세모 특징:항균 최소연령:6세 사용연령:6~9세 :6개, 종류:어린이칫솔 단계별:4단계 :1개 3단계 브레드이발소"
B002-00816-00015,"무첨가:무불소 무첨가:무색소 무첨가:무설탕 무첨가:무파라벤 효과:충치예방 효과:구취제거 효과:프라그제거 효과:미백 최소연령:신생아 용기형태:튜브형 향:딸기향(베리향) 제품형태:일반형 사용연령:0~4세 :1개, 무첨가:무계면활성제 무첨가:무불소 무첨가:무색소 무첨가:무설탕 무첨가:무파라벤 무첨가:무CMIT/MIT 무첨가:무트리클로산 효과:충치예방 효과:잇몸질환예방 효과:프라그제거 :1개, 무첨가:무불소 무첨가:무색소 효과:충치예방 효과:구취제거 효과:프라그제거 :1개, 무첨가:무불소 효과:충치예방 효과:구취제거 효과:프라그제거 효과:미백 최소연령:신생아 용기형태:튜브형 향:민트향 제품형태:일반형 :2개 100g"
B002-00816-00016,"효과:충치예방 효과:프라그제거 최소연령:5세 용기형태:튜브형 향:딸기향(베리향) 제품형태:일반형 사용연령:5~10세 :1개, 무첨가:무색소 효과:충치예방 효과:구취제거 효과:프라그제거 효과:미백 최소연령:5세 용기형태:튜브형 향:딸기향(베리향) 제품형태:일반형 사용연령:5~10세 :1개 100g"
B002-03498-00001,최소연령:5세 용기형태:튜브형 제품형태:일반형 사용연령:5~12세 :6개 75ml
B002-00127-00007,"종류:유아칫솔 단계별:1단계 칫솔모타입:부드러운모 최소연령:12개월 사용연령:1~4세 :1개, 종류:어린이칫솔 단계별:2단계 칫솔모타입:부드러운모 최소연령:5세 사용연령:5~10세 :1개, 종류:어린이칫솔 단계별:2단계 칫솔모타입:부드러운모 최소연령:5세 :1개, 종류:어린이칫솔 단계별:1단계 칫솔모타입:부드러운모 :1개 1단계"
B002-00127-00008,"종류:유아칫솔 단계별:1단계 칫솔모타입:부드러운모 특징:목찔림방지 최소연령:신생아 :1개, 종류:어린이칫솔 단계별:4단계 최소연령:9세 사용연령:9세이상 :1개, 종류:어린이칫솔 단계별:3단계 최소연령:6세 :1개, 종류:어린이칫솔 단계별:2단계 칫솔모타입:부드러운모 최소연령:36개월 :1개, 종류:어린이칫솔 단계별:2단계 칫솔모타입:부드러운모 최소연령:5세 사용연령:5~10세 :1개, 종류:어린이칫솔 단계별:2단계 칫솔모타입:부드러운모 최소연령:5세 :1개, 종류:어린이칫솔 칫솔모타입:부드러운모 재질:플라스틱 사용연령:5세이상 :1개, 종류:어린이칫솔 단계별:1단계 칫솔모타입:부드러운모 :1개, 종류:유아칫솔 단계별:2단계 칫솔모타입:부드러운모 최소연령:36개월 사용연령:3~5세 :1개, 종류:유아칫솔 단계별:1단계 칫솔모타입:부드러운모 최소연령:12개월 사용연령:1~4세 :1개, 종류:유아칫솔 단계별:1단계 칫솔모타입:부드러운모 재질:플라스틱 최소연령:신생아 사용연령:0~24개월 :1개, 무첨가:무계면활성제 효과:충치예방 최소연령:5세 용기형태:튜브형 향:포도향 제품형태:일반형 사용연령:5~10세 :1개, 무첨가:무계면활성제 효과:충치예방 최소연령:12개월 용기형태:튜브형 향:딸기향(베리향) 제품형태:일반형 사용연령:5세이하 :1개, 성별:공용 주요소재:면 소매기장:반팔 패턴:로고 네크라인:라운드넥 총기장:기본/하프 핏:기본핏, 성별:공용 주요소재:면 소매기장:반팔 패턴:로고 네크라인:라운드넥 총기장:기본/하프 핏:기본핏, 성별:공용 주요소재:폴리에스테르 소매기장:반팔 패턴:로고 네크라인:라운드넥 총기장:기본/하프 핏:기본핏, 성별:공용 주요소재:면 주요소재:폴리에스테르 소매기장:반팔 패턴:로고 네크라인:라운드넥 총기장:기본/하프 핏:기본핏, 성별:남아용 주요소재:면 주요소재:폴리에스테르 소매기장:반팔 패턴:로고 네크라인:라운드넥 총기장:기본/하프 핏:기본핏, 성별:공용 주요소재:면 소매기장:민소매 패턴:로고 총기장:기본/하프 핏:기본핏, 성별:공용 주요소재:인조가죽(합성피혁) 주요소재:폴리에스테르 방식:끈없음, 성별:공용 주요소재:폴리에스테르 소매기장:반팔 패턴:로고 네크라인:라운드넥 총기장:기본/하프 핏:기본핏, 성별:공용 디테일:밴딩 주요소재:폴리에스테르 패턴:로고, 성별:공용 주요소재:폴리에스테르 소매기장:반팔 패턴:로고 네크라인:라운드넥 총기장:기본/하프 핏:기본핏 75g"
B002-00127-00009,"종류:유아칫솔 단계별:1단계 칫솔모타입:부드러운모 특징:목찔림방지 최소연령:신생아 :1개, 종류:어린이칫솔 단계별:4단계 최소연령:9세 사용연령:9세이상 :1개, 종류:어린이칫솔 단계별:3단계 최소연령:6세 :1개, 종류:어린이칫솔 단계별:2단계 칫솔모타입:부드러운모 최소연령:36개월 :1개, 종류:어린이칫솔 단계별:2단계 칫솔모타입:부드러운모 최소연령:5세 사용연령:5~10세 :1개, 종류:어린이칫솔 단계별:2단계 칫솔모타입:부드러운모 최소연령:5세 :1개, 종류:어린이칫솔 칫솔모타입:부드러운모 재질:플라스틱 사용연령:5세이상 :1개, 종류:어린이칫솔 단계별:1단계 칫솔모타입:부드러운모 :1개, 종류:유아칫솔 단계별:2단계 칫솔모타입:부드러운모 최소연령:36개월 사용연령:3~5세 :1개, 종류:유아칫솔 단계별:1단계 칫솔모타입:부드러운모 최소연령:12개월 사용연령:1~4세 :1개, 종류:유아칫솔 단계별:1단계 칫솔모타입:부드러운모 재질:플라스틱 최소연령:신생아 사용연령:0~24개월 :1개, 무첨가:무계면활성제 효과:충치예방 최소연령:5세 용기형태:튜브형 향:포도향 제품형태:일반형 사용연령:5~10세 :1개, 무첨가:무계면활성제 효과:충치예방 최소연령:12개월 용기형태:튜브형 향:딸기향(베리향) 제품형태:일반형 사용연령:5세이하 :1개, 성별:공용 주요소재:면 소매기장:반팔 패턴:로고 네크라인:라운드넥 총기장:기본/하프 핏:기본핏, 성별:공용 주요소재:면 소매기장:반팔 패턴:로고 네크라인:라운드넥 총기장:기본/하프 핏:기본핏, 성별:공용 주요소재:폴리에스테르 소매기장:반팔 패턴:로고 네크라인:라운드넥 총기장:기본/하프 핏:기본핏, 성별:공용 주요소재:면 주요소재:폴리에스테르 소매기장:반팔 패턴:로고 네크라인:라운드넥 총기장:기본/하프 핏:기본핏, 성별:남아용 주요소재:면 주요소재:폴리에스테르 소매기장:반팔 패턴:로고 네크라인:라운드넥 총기장:기본/하프 핏:기본핏, 성별:공용 주요소재:면 소매기장:민소매 패턴:로고 총기장:기본/하프 핏:기본핏, 성별:공용 주요소재:인조가죽(합성피혁) 주요소재:폴리에스테르 방식:끈없음, 성별:공용 주요소재:폴리에스테르 소매기장:반팔 패턴:로고 네크라인:라운드넥 총기장:기본/하프 핏:기본핏, 성별:공용 디테일:밴딩 주요소재:폴리에스테르 패턴:로고, 성별:공용 주요소재:폴리에스테르 소매기장:반팔 패턴:로고 네크라인:라운드넥 총기장:기본/하프 핏:기본핏 "
B002-00127-00010,"종류:유아칫솔 단계별:1단계 칫솔모타입:부드러운모 특징:목찔림방지 최소연령:신생아 :1개, 종류:어린이칫솔 단계별:4단계 최소연령:9세 사용연령:9세이상 :1개, 종류:어린이칫솔 단계별:3단계 최소연령:6세 :1개, 종류:어린이칫솔 단계별:2단계 칫솔모타입:부드러운모 최소연령:36개월 :1개, 종류:어린이칫솔 단계별:2단계 칫솔모타입:부드러운모 최소연령:5세 사용연령:5~10세 :1개, 종류:어린이칫솔 단계별:2단계 칫솔모타입:부드러운모 최소연령:5세 :1개, 종류:어린이칫솔 칫솔모타입:부드러운모 재질:플라스틱 사용연령:5세이상 :1개, 종류:어린이칫솔 단계별:1단계 칫솔모타입:부드러운모 :1개, 종류:유아칫솔 단계별:2단계 칫솔모타입:부드러운모 최소연령:36개월 사용연령:3~5세 :1개, 종류:유아칫솔 단계별:1단계 칫솔모타입:부드러운모 최소연령:12개월 사용연령:1~4세 :1개, 종류:유아칫솔 단계별:1단계 칫솔모타입:부드러운모 재질:플라스틱 최소연령:신생아 사용연령:0~24개월 :1개, 무첨가:무계면활성제 효과:충치예방 최소연령:5세 용기형태:튜브형 향:포도향 제품형태:일반형 사용연령:5~10세 :1개, 무첨가:무계면활성제 효과:충치예방 최소연령:12개월 용기형태:튜브형 향:딸기향(베리향) 제품형태:일반형 사용연령:5세이하 :1개, 성별:공용 주요소재:면 소매기장:반팔 패턴:로고 네크라인:라운드넥 총기장:기본/하프 핏:기본핏, 성별:공용 주요소재:면 소매기장:반팔 패턴:로고 네크라인:라운드넥 총기장:기본/하프 핏:기본핏, 성별:공용 주요소재:폴리에스테르 소매기장:반팔 패턴:로고 네크라인:라운드넥 총기장:기본/하프 핏:기본핏, 성별:공용 주요소재:면 주요소재:폴리에스테르 소매기장:반팔 패턴:로고 네크라인:라운드넥 총기장:기본/하프 핏:기본핏, 성별:남아용 주요소재:면 주요소재:폴리에스테르 소매기장:반팔 패턴:로고 네크라인:라운드넥 총기장:기본/하프 핏:기본핏, 성별:공용 주요소재:면 소매기장:민소매 패턴:로고 총기장:기본/하프 핏:기본핏, 성별:공용 주요소재:인조가죽(합성피혁) 주요소재:폴리에스테르 방식:끈없음, 성별:공용 주요소재:폴리에스테르 소매기장:반팔 패턴:로고 네크라인:라운드넥 총기장:기본/하프 핏:기본핏, 성별:공용 디테일:밴딩 주요소재:폴리에스테르 패턴:로고, 성별:공용 주요소재:폴리에스테르 소매기장:반팔 패턴:로고 네크라인:라운드넥 총기장:기본/하프 핏:기본핏 1단계"
B002-00127-00011,종류:유아칫솔 단계별:2단계 칫솔모타입:부드러운모 최소연령:36개월 사용연령:3~5세 :1개 3단계
B002-00127-00012,"종류:유아칫솔 단계별:1단계 칫솔모타입:부드러운모 특징:목찔림방지 최소연령:신생아 :1개, 종류:유아칫솔 단계별:2단계 칫솔모타입:부드러운모 최소연령:36개월 사용연령:3~5세 :1개, 종류:유아칫솔 단계별:1단계 칫솔모타입:부드러운모 최소연령:12개월 사용연령:1~4세 :1개, 종류:어린이칫솔 단계별:3단계 최소연령:6세 :1개, 종류:어린이칫솔 단계별:4단계 최소연령:9세 사용연령:9세이상 :1개, 종류:어린이칫솔 단계별:2단계 칫솔모타입:부드러운모 최소연령:36개월 :1개, 종류:어린이칫솔 단계별:2단계 칫솔모타입:부드러운모 최소연령:5세 사용연령:5~10세 :1개, 종류:어린이칫솔 단계별:2단계 칫솔모타입:부드러운모 최소연령:5세 :1개, 종류:유아칫솔 단계별:1단계 칫솔모타입:부드러운모 재질:플라스틱 최소연령:신생아 사용연령:0~24개월 :1개, 종류:어린이칫솔 단계별:1단계 칫솔모타입:부드러운모 :1개, 종류:어린이칫솔 칫솔모타입:부드러운모 재질:플라스틱 사용연령:5세이상 :1개, 칫솔종류:일반 칫솔 칫솔모타입:초미세모(초극세모) 재질:플라스틱 재질:기타 칫솔헤드크기:소형 :1개, 칫솔종류:일반 칫솔 칫솔모타입:미세모(극세모) :2개, 칫솔종류:일반 칫솔 칫솔모타입:초미세모(초극세모) 칫솔헤드크기:일반형 :1개, 칫솔종류:일반 칫솔 칫솔모타입:초미세모(초극세모) 칫솔헤드크기:일반형 :1개, 칫솔종류:친환경칫솔 칫솔모타입:일반모 재질:플라스틱 칫솔헤드크기:일반형 :1개, 칫솔종류칫솔모타입:일반 칫솔, 칫솔종류:일반 칫솔 :1개, 칫솔종류:일반 칫솔 칫솔모타입:일반모 :12개, 칫솔종류:일반 칫솔 칫솔모타입:초미세모(초극세모) :8개, 칫솔종류:일반 칫솔 칫솔모타입:초미세모(초극세모) 칫솔헤드크기:소형 :1개, 종류:치간칫솔(I자형), 칫솔종류:일반 칫솔 칫솔모타입:일반모 칫솔헤드크기:일반형 특징:잇몸마사지 특징:교체시기알림 :1개, 칫솔종류:일반 칫솔 칫솔모타입:부드러운모 재질:플라스틱 칫솔헤드크기:일반형 :1개, 종류:치간칫솔(I자형) 2단계"
B002-03119-00001,"종류:유아칫솔 단계별:1단계 칫솔모타입:초미세모 특징:항균 최소연령:신생아 사용연령:0~6세 :1개, 종류:어린이칫솔 단계별:2단계 칫솔모타입:부드러운모 특징:항균 사용연령:6~12세 :1개, 종류:어린이칫솔 단계별:1단계 칫솔모타입:부드러운모 특징:항균 :1개, 종류:어린이칫솔 단계별:2단계 :1개 "
B002-02492-00034,"종류:어린이칫솔 단계별:3단계 최소연령:5세 :1개, 종류:어린이칫솔 단계별:2단계 칫솔모타입:부드러운모 최소연령:24개월 :1개, 종류:어린이칫솔 단계별:4단계 칫솔모타입:빗살모양칫솔모 최소연령:8세 :1개, 종류:유아칫솔 단계별:1단계 칫솔모타입:부드러운모 특징:교체시기알림 최소연령:4개월 :1개, 전원방식:충전식 디자인:카즈,겨울왕국(엘사),프린세스,스타워즈 타이머: :2분알림, 전원방식:건전지식 제품크기:200 x 30 x 35mm 무게:85g 형태:일반형 타이머:2분알림, 전원방식:전원식 전원방식:USB충전식 전원방식:충전식 전원방식:건전지식 전원방식:건전지겸용 진동:8,800회(분당) 작동방식:음파 효과:충치예방 효과:프라그 효과:치석예방 효과:입냄새제거 효과:세균제거 효과:얼룩제거 칫솔모형태:듀퐁사원사 칫솔모:1개 안전:생활방수(IPX7) 건전지식:AA건전지x2 사용연령:어린이용 사용연령:영유아용 사용연령:3세이상 사용연령:4세이상 사용연령:5세이상 사용연령:6세이상 사용연령:7세이상 사용연령:3세~7세 사용연령:3개월~4세, 전원방식:건전지식 작동방식:회전 칫솔모형태:인디케이터 칫솔모:1개 건전지식:AA건전지x2 사용연령:어린이용 2단계"
B002-02492-00037,"종류:어린이칫솔 단계별:3단계 최소연령:5세 :1개, 종류:어린이칫솔 칫솔모타입:부드러운모 최소연령:5세 사용연령:5세이상 :1개, 종류:어린이칫솔 단계별:2단계 칫솔모타입:부드러운모 최소연령:24개월 :1개, 종류:어린이칫솔 단계별:4단계 칫솔모타입:빗살모양칫솔모 최소연령:8세 :1개, 종류:유아칫솔 단계별:1단계 칫솔모타입:부드러운모 특징:교체시기알림 최소연령:4개월 :1개, 전원방식:충전식 디자인:카즈,겨울왕국(엘사),프린세스,스타워즈 타이머: :2분알림, 전원방식:건전지식 제품크기:200 x 30 x 35mm 무게:85g 형태:일반형 타이머:2분알림, 전원방식:전원식 전원방식:USB충전식 전원방식:충전식 전원방식:건전지식 전원방식:건전지겸용 진동:8,800회(분당) 작동방식:음파 효과:충치예방 효과:프라그 효과:치석예방 효과:입냄새제거 효과:세균제거 효과:얼룩제거 칫솔모형태:듀퐁사원사 칫솔모:1개 안전:생활방수(IPX7) 건전지식:AA건전지x2 사용연령:어린이용 사용연령:영유아용 사용연령:3세이상 사용연령:4세이상 사용연령:5세이상 사용연령:6세이상 사용연령:7세이상 사용연령:3세~7세 사용연령:3개월~4세, 전원방식:건전지식 작동방식:회전 칫솔모형태:인디케이터 건전지식:AA건전지x2 디자인:카즈,프린세스 사용연령:어린이용 타이머:2분알림, 전원방식:건전지식 작동방식:회전 칫솔모형태:인디케이터 칫솔모:1개 건전지식:AA건전지x2 사용연령:어린이용 "
B002-03644-00001,"포장형태:용기형 특징:피부진정 용량:100g :1개, 포장형태:용기형 특징:피부진정 무첨가:저자극 용량:100ml :1개, 포장형태:용기형 무첨가:무방부제 무첨가:저자극 용량:100g :1개, 포장형태:용기형 용량:100ml :1개 100ml"
B002-03293-00026,"포장형태:콤팩트형 특징:피부진정 특징:수분공급 용량:23g :1개, 포장형태:콤팩트형 특징:피부진정 용량:23g :1개, 세트수량:2종세트 23g"
B002-03344-00016,"포장형태:콤팩트형 특징:피부진정 특징:수분공급 무첨가:오일프리 무첨가:저자극 무첨가:무탈크 용량:25g :1개, 포장형태:콤팩트형 특징:피부진정 용량:25g :1개, 세트수량:2종세트 특징:피부진정 특징:수분공급 무첨가:티어프리 무첨가:저자극 무첨가:무탈크 25g"
B002-01383-00002,포장형태:튜브형 특징:피부진정 특징:수분공급 특징:피부장벽강화 특징:피부보호 무첨가:무색소 무첨가:무인공향료 용량:70g :1개 70g
B002-01125-00004,"포장형태:용기형 특징:피부진정 용량:60ml :1개, 포장형태:용기형 특징:피부진정 용량:30ml :1개 30ml"
B002-00816-00017,포장형태:콤팩트형 특징:피부진정 특징:영양공급 특징:피부장벽강화 무첨가:무알코올 무첨가:무파라벤 무첨가:저자극 용량:25g :1개 25g
B002-01475-00003,최소연령:신생아 단계별:1단계 포장형태:캔 제품형태:분말 용량:800g 출시년도:2020년도 분유성분:타우린 유형:성장기용조제식 기능:소화촉진 기능:성장발육 기능:면역강화 사용연령:0개월~첫돌 :1개 800g
B002-01475-00004,"최소연령:신생아 단계별:1단계 포장형태:캔 제품형태:분말 용량:800g 출시년도:2020년도 분유성분:타우린 유형:성장기용조제식 기능:소화촉진 기능:성장발육 기능:면역강화 사용연령:태어나서부터 :1개, 최소연령:신생아 포장형태:캔 제품형태:분말 용량:800g 기능:소화촉진 기능:성장발육 :2개, 최소연령:신생아 포장형태:캔 제품형태:분말 용량:800g 분유성분:타우린 :1개, 최소연령:신생아 포장형태:캔 제품형태:분말 용량:800g :1개 800g"
B002-01475-00005,"최소연령:12개월 단계별:3단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2020년도 분유성분:DHA 분유성분:프로바이오틱스 유형:성장기용조제식 기능:두뇌발달 기능:성장발육 기능:면역강화 사용연령:12~36개월 :1개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2020년도 분유성분:아라키돈산 분유성분:DHA 분유성분:프로바이오틱스 분유성분:타우린 유형:성장기용조제분유 기능:성장발육 기능:면역강화 사용연령:0~6개월 :1개, 최소연령:신생아 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2020년도 분유성분:아라키돈산 분유성분:프로바이오틱스 분유성분:타우린 유형:성장기용조제분유 기능:성장발육 기능:면역강화 사용연령:6~12개월 :1개 1단계 800g"
B002-01475-00007,최소연령:12개월 단계별:3단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2020년도 분유성분:DHA 분유성분:프로바이오틱스 유형:성장기용조제식 기능:두뇌발달 기능:성장발육 기능:면역강화 사용연령:12~36개월 :1개 3단계 800g
B002-01264-00001,"최소연령:12개월 단계별:3단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 분유성분:아라키돈산 분유성분:DHA 분유성분:프로바이오틱스 분유성분:타우린 유형:성장기용조제식 기능:두뇌발달 기능:시력발달 사용연령:12~36개월 :1개, 최소연령:6개월 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 분유성분:아라키돈산 분유성분:DHA 분유성분:프로바이오틱스 분유성분:타우린 유형:성장기용조제분유 기능:두뇌발달 사용연령:6~12개월 :1개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 분유성분:아라키돈산 분유성분:DHA 분유성분:프로바이오틱스 분유성분:타우린 유형:조제분유 기능:두뇌발달 사용연령:0~6개월 :1개 1단계 800g"
B002-00867-00001,"최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2023년도 유형:조제분유 기능:두뇌발달 기능:성장발육 기능:설사개선 사용연령:0~6개월 :1개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2021년도 분유성분:아라키돈산 분유성분:DHA 분유성분:루테인 분유성분:타우린 유형:조제분유 사용연령:태어나서~6개월 :1개, 최소연령:6개월 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2021년도 분유성분:아라키돈산 분유성분:DHA 분유성분:루테인 분유성분:타우린 유형:성장기용조제식 사용연령:6~12개월 :1개, 최소연령:12개월 단계별:3단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2021년도 분유성분:아라키돈산 분유성분:DHA 분유성분:루테인 분유성분:타우린 유형:성장기용조제식 사용연령:1~3세 :1개, 최소연령:36개월 단계별:4단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2021년도 분유성분:DHA 분유성분:프로바이오틱스 유형:성장기용조제식 기능:소화촉진 기능:두뇌발달 기능:성장발육 기능:시력발달 사용연령:36개월부터 :1개 1단계 800g"
B002-03528-00001,"최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:800g 출시년도:2021년도 유형:조제분유 인증:유기농인증 사용연령:0~6개월 :1개, 최소연령:6개월 단계별:2단계 제품형태:분말 포장형태:캔 용량:800g 출시년도:2021년도 유형:조제분유 인증:유기농인증 사용연령:6~12개월 :1개, 최소연령:12개월 단계별:3단계 제품형태:분말 포장형태:캔 용량:800g 출시년도:2021년도 유형:조제분유 인증:유기농인증 사용연령:12개월부터 :1개, 최소연령:신생아 종류:일반분유 제품형태:분말 포장형태:기타 용량:600g 인증:유기농인증 기능:소화촉진 사용연령:신생아부터 :1개, 최소연령:신생아 종류:일반분유 제품형태:분말 포장형태:기타 용량:600g 분유성분:DHA 사용연령:신생아~6개월 :1개, 최소연령:6개월 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:기타 용량:600g 사용연령:6개월부터 :1개, 최소연령:6개월 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:기타 용량:600g 사용연령:6개월부터 :1개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:기타 용량:600g 분유성분:아라키돈산 분유성분:DHA 사용연령:신생아~6개월 :4개, 최소연령:24개월 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:기타 용량:600g 사용연령:24개월부터 :1개, 최소연령:12개월 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:기타 용량:600g 사용연령:12개월부터 :1개, 최소연령:6개월 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:기타 용량:600g 사용연령:6개월이상 :1개, 최소연령:10개월 단계별:3단계 종류:일반분유 제품형태:분말 포장형태:기타 용량:600g 분유성분:DHA 기능:소화촉진 기능:두뇌발달 기능:시력발달 사용연령:10개월이상 :1개, 최소연령:신생아 종류:일반분유 제품형태:액상 포장형태:병 용량:200ml :12개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:기타 용량:600g :1개, 최소연령:신생아 종류:일반분유 제품형태:분말 포장형태:기타 용량:600g :6개 1단계 800g"
B002-00875-00001,"최소연령:6개월 단계별:3단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:750g 기능:소화촉진 기능:두뇌발달 기능:성장발육 사용연령:6개월~첫돌 :1개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:750g 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 기능:소화촉진 기능:두뇌발달 기능:성장발육 사용연령:태어나서~6개월 :1개, 최소연령:6개월 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:750g 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 기능:소화촉진 기능:두뇌발달 기능:성장발육 기능:칼슘강화 사용연령:6개월~첫돌 :1개, 최소연령:4개월 단계별:2단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:750g 유형:성장기용조제식 사용연령:백일~6개월 :1개, 최소연령:12개월 단계별:3단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:750g 분유성분:아라키돈산 분유성분:DHA 분유성분:타우린 기능:소화촉진 기능:두뇌발달 기능:성장발육 사용연령:첫돌~24개월 :1개, 최소연령:12개월 단계별:4단계 종류:일반분유 제품형태:분말 포장형태:캔 용량:750g 기능:소화촉진 기능:두뇌발달 기능:성장발육 :1개, 최소연령:신생아 단계별:1단계 종류:일반분유 제품형태:분말 포장형태:병 용량:750g 기능:소화촉진 기능:두뇌발달 기능:성장발육 :4개 3단계 750g"
